32363126;Apium Api g 5;Food;Food Plant;Apium graveolens;Celery;Unassigned
253289;Arachis Agglutinin (lectin);Food;Food Plant;Arachis hypogaea;Peanut;Unassigned
1168390;Arachis Ara h 1;Food;Food Plant;Arachis hypogaea;Peanut;Ara h 1
1168391;Arachis Ara h 1;Food;Food Plant;Arachis hypogaea;Peanut;Ara h 1
46560474;Arachis Ara h 1;Food;Food Plant;Arachis hypogaea;Peanut;Unassigned
46560472;Arachis Ara h 1;Food;Food Plant;Arachis hypogaea;Peanut;Unassigned
46560476;Arachis Ara h 1;Food;Food Plant;Arachis hypogaea;Peanut;Unassigned
312233063;Arachis Ara h 1;Food;Food Plant;Arachis hypogaea;Peanut;Unassigned
375332427;Arachis Ara h 1;Food;Food Plant;Arachis hypogaea;Peanut;Unassigned
347447588;Arachis Ara h 1;Food;Food Plant;Arachis hypogaea;Peanut;Unassigned
26245447;Arachis Ara h 2;Food;Food Plant;Arachis hypogaea;Peanut;Ara h 2.02
31322017;Arachis Ara h 2;Food;Food Plant;Arachis hypogaea;Peanut;Ara h 2
15418705;Arachis Ara h 2;Food;Food Plant;Arachis hypogaea;Peanut;Unassigned
224747150;Arachis Ara h 2;Food;Food Plant;Arachis hypogaea;Peanut;Unassigned
3703107;Arachis Ara h 3 Glycinin;Food;Food Plant;Arachis hypogaea;Peanut;Ara h 3
5712199;Arachis Ara h 3 Glycinin;Food;Food Plant;Arachis hypogaea;Peanut;Ara h 4
21314465;Arachis Ara h 3 Glycinin;Food;Food Plant;Arachis hypogaea;Peanut;Unassigned
22135348;Arachis Ara h 3 Glycinin;Food;Food Plant;Arachis hypogaea;Peanut;Unassigned
112380623;Arachis Ara h 3 Glycinin;Food;Food Plant;Arachis hypogaea;Peanut;Unassigned
199732457;Arachis Ara h 3 Glycinin;Food;Food Plant;Arachis hypogaea;Peanut;Unassigned
224036293;Arachis Ara h 3 Glycinin;Food;Food Plant;Arachis hypogaea;Peanut;Unassigned
312233065;Arachis Ara h 3 Glycinin;Food;Food Plant;Arachis hypogaea;Peanut;Unassigned
5902968;Arachis Ara h 5;Food;Food Plant;Arachis hypogaea;Peanut;Ara h 5
284810529;Arachis Ara h 5;Food;Food Plant;Arachis hypogaea;Peanut;Unassigned
431812555;Arachis Ara h 5;Food;Food Plant;Arachis hypogaea;Peanut;Unassigned
5923742;Arachis Ara h 6;Food;Food Plant;Arachis hypogaea;Peanut;Ara h 6
17225991;Arachis Ara h 6;Food;Food Plant;Arachis hypogaea;Peanut;Unassigned
159163254;Arachis Ara h 6;Food;Food Plant;Arachis hypogaea;Peanut;Unassigned
75114094;Arachis Ara h 6;Food;Food Plant;Arachis hypogaea;Peanut;Unassigned
5931948;Arachis Ara h 7;Food;Food Plant;Arachis hypogaea;Peanut;Ara h 7
158121995;Arachis Ara h 7;Food;Food Plant;Arachis hypogaea;Peanut;Unassigned
37499626;Arachis Ara h 8;Food;Food Plant;Arachis hypogaea;Peanut;Ara h 8
145904610;Arachis Ara h 8;Food;Food Plant;Arachis hypogaea;Peanut;Unassigned
169786740;Arachis Ara h 8;Food;Food Plant;Arachis hypogaea;Peanut;Unassigned
110676574;Arachis Ara h 8;Food;Food Plant;Arachis hypogaea;Peanut;Unassigned
161087230;Arachis Ara h 9  LTP isoallergens;Food;Food Plant;Arachis hypogaea;Peanut;Unassigned
161610580;Arachis Ara h 9  LTP isoallergens;Food;Food Plant;Arachis hypogaea;Peanut;Unassigned
58371884;Argas Arg r 1;Non Food;Venom or Salivary;Argas reflexus;European pigeon tick;Arg r 1
322812205;Argas Arg r 1;Non Food;Venom or Salivary;Argas reflexus;European pigeon tick;Unassigned
27818335;Artemisia Art v 1;Non Food;Aero Plant;Artemisia vulgaris;Mugwort;Art v 1
148887203;Artemisia Art v 2;Non Food;Aero Plant;Artemisia vulgaris;Mugwort;Unassigned
73621307;Artemisia Art v 3;Non Food;Aero Plant;Artemisia vulgaris;Mugwort;Unassigned
189544578;Artemisia Art v 3;Non Food;Aero Plant;Artemisia vulgaris;Mugwort;Unassigned
189544584;Artemisia Art v 3;Non Food;Aero Plant;Artemisia vulgaris;Mugwort;Unassigned
189544590;Artemisia Art v 3;Non Food;Aero Plant;Artemisia vulgaris;Mugwort;Unassigned
189544595;Artemisia Art v 3;Non Food;Aero Plant;Artemisia vulgaris;Mugwort;Unassigned
73621415;Artemisia Art v 4;Non Food;Aero Plant;Artemisia vulgaris;Mugwort;Unassigned
73621416;Artemisia Art v 4;Non Food;Aero Plant;Artemisia vulgaris;Mugwort;Unassigned
62530263;Artemisia Art v 6 pectate lyase;Non Food;Aero Plant;Artemisia vulgaris;Mugwort;Unassigned
23894240;Trichophyton (Arthroderma) Tri m 2;Non Food;Contact;Arthroderma benhamiae;Fungus;Unassigned
23894244;Trichophyton (Arthroderma) Tri m 2;Non Food;Contact;Arthroderma benhamiae;Fungus;Unassigned
23894232;Trichophyton (Arthroderma) Tri m 4;Non Food;Contact;Arthroderma benhamiae;Fungus;Unassigned
219687753;Trichophyton (Arthroderma) Tri m 4;Non Food;Contact;Arthroderma vanbreuseghemii;Fungus;Unassigned
2735096;Ascaris Asc s 1;Non Food;Worm (parasite);Ascaris lumbricoides;Parasitic roundworm;Unassigned
2735098;Ascaris Asc s 1;Non Food;Worm (parasite);Ascaris lumbricoides;Parasitic roundworm;Unassigned
2735102;Ascaris Asc s 1;Non Food;Worm (parasite);Ascaris lumbricoides;Parasitic roundworm;Unassigned
2735106;Ascaris Asc s 1;Non Food;Worm (parasite);Ascaris lumbricoides;Parasitic roundworm;Unassigned
2735108;Ascaris Asc s 1;Non Food;Worm (parasite);Ascaris lumbricoides;Parasitic roundworm;Unassigned
2735110;Ascaris Asc s 1;Non Food;Worm (parasite);Ascaris lumbricoides;Parasitic roundworm;Unassigned
2735112;Ascaris Asc s 1;Non Food;Worm (parasite);Ascaris lumbricoides;Parasitic roundworm;Unassigned
2735114;Ascaris Asc s 1;Non Food;Worm (parasite);Ascaris lumbricoides;Parasitic roundworm;Unassigned
2735118;Ascaris Asc s 1;Non Food;Worm (parasite);Ascaris lumbricoides;Parasitic roundworm;Unassigned
2735100;Ascaris Asc s 1;Non Food;Worm (parasite);Ascaris lumbricoides;Parasitic roundworm;Unassigned
224016002;Ascaris tropomyosin;Non Food;Worm (parasite);Ascaris lumbricoides;Parasitic roundworm;Unassigned
299550;Ascaris Asc s 1;Non Food;Worm (parasite);Ascaris suum;Parasitic roundworm;Asc s 1
77416849;Ascaris Asc s 1;Non Food;Worm (parasite);Ascaris suum;Parasitic roundworm;Asc s 1
343197079;Ascaris Asc s 1;Non Food;Worm (parasite);Ascaris suum;Parasitic roundworm;Unassigned
74665726;Aspergillus Oryzin Asp o 13, fl 13;Non Food;Aero Fungi;Aspergillus flavus;Fungus;Unassigned
3021324;Aspergillus Asp f 1;Non Food;Aero Fungi;Aspergillus fumigatus;Fungus;Asp f 1
9280360;Aspergillus Asp f 1;Non Food;Aero Fungi;Aspergillus fumigatus;Fungus;Asp f 1
54039254;Aspergillus Asp f 1;Non Food;Aero Fungi;Aspergillus fumigatus;Fungus;Unassigned
963013;Aspergillus Asp f 10;Non Food;Aero Fungi;Aspergillus fumigatus;Fungus;Asp f 10
5019414;Aspergillus Asp f 11;Non Food;Aero Fungi;Aspergillus fumigatus;Fungus;Asp f 11
664852;Aspergillus Asp f 2;Non Food;Aero Fungi;Aspergillus fumigatus;Fungus;Asp f 2
83300352;Aspergillus Asp f 2;Non Food;Aero Fungi;Aspergillus fumigatus;Fungus;Asp f 2
13925873;Aspergillus Asp f 22;Non Food;Aero Fungi;Aspergillus fumigatus;Fungus;Asp f 22
83288046;Aspergillus Asp f 22;Non Food;Aero Fungi;Aspergillus fumigatus;Fungus;Unassigned
2769700;Aspergillus Asp f 3;Non Food;Aero Fungi;Aspergillus fumigatus;Fungus;Asp f 3
3005839;Aspergillus Asp f 4;Non Food;Aero Fungi;Aspergillus fumigatus;Fungus;Asp f 4
83300369;Aspergillus Asp f 4;Non Food;Aero Fungi;Aspergillus fumigatus;Fungus;Unassigned
1648970;Aspergillus Asp f 6;Non Food;Aero Fungi;Aspergillus fumigatus;Fungus;Asp f 6
83305645;Aspergillus Asp f 6;Non Food;Aero Fungi;Aspergillus fumigatus;Fungus;Unassigned
83300389;Aspergillus Asp f 7;Non Food;Aero Fungi;Aspergillus fumigatus;Fungus;Asp f 7
6686524;Aspergillus Asp f 8;Non Food;Aero Fungi;Aspergillus fumigatus;Fungus;Asp f 8
83305635;Aspergillus Asp f 8;Non Food;Aero Fungi;Aspergillus fumigatus;Fungus;Unassigned
85540942;Aspergillus Asp f 9;Non Food;Aero Fungi;Aspergillus fumigatus;Fungus;Unassigned
21215170;Aspergillus Ribosomal protein L3;Non Food;Aero Fungi;Aspergillus fumigatus;Fungus;Unassigned
83305621;Aspergillus Ribosomal protein L3;Non Food;Aero Fungi;Aspergillus fumigatus;Fungus;Unassigned
2143220;Aspergillus Vacuolar Serine protease;Non Food;Aero Fungi;Aspergillus fumigatus;Fungus;Unassigned
66849502;Aspergillus Asp f 2;Non Food;Aero Fungi;Aspergillus fumigatus Af293;Fungus;Unassigned
2181180;Aspergillus Asp n 14;Non Food;Aero Fungi;Aspergillus niger;Fungus;Asp n 14
4235093;Aspergillus Asp n 14;Non Food;Aero Fungi;Aspergillus niger;Fungus;Asp n 14
289172;Aspergillus Vacuolar Serine protease;Non Food;Aero Fungi;Aspergillus niger;Fungus;Unassigned
94706935;Aspergillus Alpha-amylase A;Non Food;Aero Fungi;Aspergillus oryzae;Fungus;Asp o 21
129235;Aspergillus Oryzin Asp o 13, fl 13;Non Food;Aero Fungi;Aspergillus oryzae;Fungus;Asp o 13
267048;Bacillus lentus subtilisin;Non Food;Bacteria airway;Bacillus lentus;;Unassigned
135016;Bacillus licheniformis subtlilisin;Non Food;Bacteria airway;Bacillus licheniformis;;Unassigned
11127680;Bacillus licheniformis subtlilisin;Non Food;Bacteria airway;Bacillus licheniformis;;Unassigned
1225905;Bacillus lentus Esperase;Non Food;Bacteria airway;Bacillus sp.;;Unassigned
125659386;Balanus r tropomyosin;Food;Food Animal;Balanus rostratus;;Unassigned
47117350;Batillus Tur c1;Food;Food Animal;Batillus cornutus;Japanese turban shell;Unassigned
